Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Agmo	Agmo	16.1524858961386	2.46381705914986	0.416640844210153	5.9135274262912	3.34857738855484e-09	1.65604082873305e-07
B3galt5	B3galt5	17.3688979012961	2.45718790876566	0.390753954233709	6.28832512670114	3.20909282594405e-10	1.94155629874814e-08
Wisp1	Wisp1	260.219703034803	2.43885442315725	0.237844059946226	10.2540060227219	1.13538084577007e-24	3.17293891597266e-22
Cxcl13	Cxcl13	33.130649660924	2.43062543138953	0.356919351234714	6.81001302669948	9.75899084570151e-12	7.40589624264745e-10
Sox9	Sox9	554.157984892859	2.42452023016904	0.252443682847681	9.60420242178112	7.67498149362537e-22	1.77797005495748e-19
Mab21l2	Mab21l2	271.017737823327	2.42358667739083	0.355427780653439	6.81878797694195	9.18117828227045e-12	6.9975681747902e-10
Tbx5	Tbx5	308.741544980809	2.42144618602466	0.462824365718733	5.23189003298115	1.67785561489954e-07	6.17998450960696e-06
Clec18a	Clec18a	13.7248329851926	2.41624582490735	0.412075928422771	5.86359371719572	4.5295500111345e-09	2.1670450406531e-07
Adamtsl1	Adamtsl1	60.3433571807951	2.39880976483751	0.311617157784548	7.69793865617647	1.38278721589058e-14	1.58086699499802e-12
Cpa5	Cpa5	37.5309333584228	2.39386948624611	0.353893756938012	6.76437331632673	1.33887450891278e-11	9.90429605206652e-10
Synpo2l	Synpo2l	25.9378013874358	2.38574708230688	0.404241559509162	5.90178576691545	3.59587910882002e-09	1.74886871795263e-07
Col12a1	Col12a1	128.238183182444	2.3799870785039	0.313533272191804	7.59085969366576	3.17789917430632e-14	3.4537094359776e-12
Rspo4	Rspo4	163.307065525265	2.37696106062155	0.326104477524445	7.28895560915252	3.12366943360826e-13	2.9727202188166e-11
Samd5	Samd5	51.8231345368917	2.37637479003509	0.372451010399345	6.38036875638255	1.76662070991561e-10	1.09133769188682e-08
C1qtnf3	C1qtnf3	109.94177743812	2.36261933264799	0.307959292483849	7.67185595729959	1.69525268679619e-14	1.92558830991831e-12
Neurod4	Neurod4	58.0941284937271	2.35984001484275	0.426027086330092	5.53917835405966	3.03894032087676e-08	1.2678574239184e-06
Angptl1	Angptl1	54.5365470858816	2.35803927644231	0.351359714374837	6.71118281342496	1.93053057234826e-11	1.39298857609686e-09
Epha3	Epha3	282.059446727247	2.33675964753098	0.449468217338123	5.19894301174379	2.00424956649586e-07	7.20139140157676e-06
Smoc2	Smoc2	247.056929336807	2.29613055424611	0.215724835389095	10.6437932846474	1.86383521793743e-26	6.31051593211663e-24
9130206I24Rik	9130206I24Rik	410.309133797399	2.28319513996107	0.255511922418252	8.93576753034508	4.04361350045673e-19	7.65503863323024e-17
Col3a1	Col3a1	10485.5815734447	2.26539401044384	0.285580842708846	7.93258395400647	2.14632526750247e-15	2.69915733283203e-13
En1	En1	47.2588531257812	2.24253867012464	0.428492627864318	5.23355251478151	1.66282734754975e-07	6.14910450209214e-06
Hhip	Hhip	430.026005159723	2.23623721235093	0.278563032010303	8.02776016692775	9.92682976225954e-16	1.31407341950633e-13
Sec1	Sec1	35.8991113402297	2.2336073944228	0.361751576084795	6.17442339463158	6.64053685983735e-10	3.80825055225721e-08
Mobp	Mobp	6.38371919333925	2.21719729333846	0.442347706391771	5.01234043106978	5.37719620012389e-07	1.74669587268231e-05
Nhlh1	Nhlh1	40.9023028228591	2.21529406850433	0.395378811447398	5.60296607801164	2.10714475295148e-08	9.04838793182041e-07
Fmod	Fmod	65.4559516856676	2.20908160099942	0.371177884951954	5.95154423406817	2.65624207997644e-09	1.32857380852458e-07
Rasgef1c	Rasgef1c	8.18352080128478	2.1880923166267	0.410307474472918	5.33281125194595	9.67038149523772e-08	3.72553034146948e-06
Alcam	Alcam	465.180034066635	2.17290483803505	0.264172907544736	8.22531295215081	1.94681863165484e-16	2.72029276419962e-14
