Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Hey2	Hey2	338.247355443413	-2.19637111423365	0.189059521377569	-11.6173525577021	3.36399565970113e-31	1.11748127518298e-28
Piwil4	Piwil4	20.582097658775	-2.19771879812288	0.350849459971501	-6.26399367495506	3.75240701533631e-10	1.53282779378216e-08
Cpn1	Cpn1	39.7645524493673	-2.20343078487858	0.344695121187736	-6.39240490926036	1.63296780316202e-10	7.0293474675967e-09
Cited1	Cited1	599.139228522638	-2.20746565829751	0.327774470493242	-6.73470894476824	1.6425840316493e-11	8.26266698891931e-10
Rhpn2	Rhpn2	610.568863378688	-2.22099042279445	0.260769135988654	-8.51707551345757	1.63632810821209e-17	1.82336662488494e-15
Tbx4	Tbx4	356.349097250064	-2.22143798874489	0.460811087778594	-4.82071297254076	1.43046050077115e-06	3.18390487693766e-05
Csmd1	Csmd1	2.04802336924502	-2.24452222290562	0.437163825335493	-5.13428168761014	2.83223635024386e-07	7.1644185606887e-06
Prrt1	Prrt1	5.73980914998961	-2.24586152551366	0.45372663618644	-4.94981194930513	7.42852225020445e-07	1.76262213931401e-05
Lhx5	Lhx5	35.2861622301057	-2.24939878292484	0.456963226914986	-4.92249408800529	8.54481467844847e-07	1.98469666528712e-05
Wnt8a	Wnt8a	25.2205465073091	-2.25017842504199	0.397476116171678	-5.66116637828396	1.50347568665236e-08	4.66846436317486e-07
Sfrp4	Sfrp4	38.3935796867584	-2.27727036471968	0.315668503133229	-7.21411969238676	5.42839932160627e-13	3.35341748969123e-11
Ces1g	Ces1g	2.4105700760303	-2.27940675198782	0.457525909904831	-4.98202768988965	6.29214282428699e-07	1.50925703766208e-05
Kif26b	Kif26b	1680.55741479807	-2.28465873126556	0.207540420493023	-11.0082591421865	3.48675806556213e-28	9.90126814553014e-26
Ret	Ret	606.815761623919	-2.28718065139216	0.284002384317647	-8.05338538578612	8.05348139130155e-16	7.16109057450783e-14
Hoxd1	Hoxd1	519.277869156324	-2.28976980964885	0.209689472523838	-10.9198129123461	9.26865302444963e-28	2.54974851794469e-25
Spint1	Spint1	95.9509292838032	-2.29572650089786	0.381506113783458	-6.01753528437794	1.77092721963086e-09	6.40224735704742e-08
Acsm3	Acsm3	66.158562718101	-2.29850162820984	0.261360385981337	-8.79437646826083	1.43844527546859e-18	1.79611826382269e-16
Gng4	Gng4	16.5272731543667	-2.30114029984499	0.389163087161735	-5.91304873395827	3.35832760661767e-09	1.15707858790823e-07
Aadat	Aadat	77.5949304466005	-2.30842084696645	0.287838877312188	-8.01983689111864	1.05885674498976e-15	9.22882764964841e-14
Sema3e	Sema3e	131.501245524193	-2.31542175107404	0.32230717439612	-7.18389764488566	6.7751594808544e-13	4.07110777542398e-11
Ly6a	Ly6a	8.51148393609781	-2.31759442643421	0.448866182090965	-5.16321905927086	2.42738788469759e-07	6.25718756925121e-06
Gm239	Gm239	41.4240229672907	-2.31786683874042	0.35763727195912	-6.48105502551021	9.10834434125709e-11	4.09085485898399e-09
Sall1	Sall1	4762.34214860332	-2.32129964080545	0.193233472354377	-12.0129272248876	3.03894297219069e-33	1.16312239061716e-30
2700086A05Rik	2700086A05Rik	392.440526156608	-2.33467611929384	0.356622162405681	-6.54663777356044	5.88468612331507e-11	2.70511185083773e-09
Ocln	Ocln	36.6439501953835	-2.34000576032993	0.375522250747286	-6.2313371728928	4.62470517597862e-10	1.85472800292209e-08
Tph1	Tph1	18.0309952421607	-2.34561091419185	0.386169077219697	-6.07405163323681	1.24722595984337e-09	4.60349271467554e-08
1700003M02Rik	1700003M02Rik	9.91901589001105	-2.3572050923326	0.420640936903369	-5.60384138948918	2.09652571760112e-08	6.40823468473703e-07
H2-Q10	H2-Q10	7.30737502218711	-2.36047857388686	0.464410322444575	-5.08274355630536	3.72021819877878e-07	9.27736000109054e-06
Sel1l3	Sel1l3	134.525826253116	-2.3607204567207	0.277855326138334	-8.49622171915965	1.95861706951159e-17	2.16876805822774e-15
BC089491	BC089491	27.4981432533253	-2.37702819725631	0.383437093999286	-6.19926510620994	5.67274103967212e-10	2.22933657911757e-08
Dlgap2	Dlgap2	11.1137500352719	-2.37879507782677	0.404012269489204	-5.8879278117823	3.91067853201595e-09	1.3317486699163e-07
Hotair	Hotair	11.856441408451	-2.38785726766897	0.462197419205139	-5.16631458430787	2.38754818401646e-07	6.16351515070289e-06
Adamtsl2	Adamtsl2	178.683242738668	-2.3998220329279	0.350487805450819	-6.8470913840814	7.53665780216757e-12	3.96090738104365e-10
Ajap1	Ajap1	62.4748051430116	-2.40702828962184	0.290682418457163	-8.28061188701219	1.22543968972512e-16	1.22585745325571e-14
Myom2	Myom2	8.78655554757757	-2.40993406468237	0.419073724031983	-5.75062077740393	8.89163567107093e-09	2.86190379570155e-07
Samd3	Samd3	10.9694456205714	-2.41178538745137	0.440505634205099	-5.47503868322474	4.37416047475704e-08	1.28781721268516e-06
Mpzl2	Mpzl2	130.347867144653	-2.41362299424198	0.295796925861373	-8.15972981197629	3.35774841249339e-16	3.17830744894401e-14
Cpb1	Cpb1	11.1799542379544	-2.42139079396953	0.430535643203397	-5.62413549770976	1.86439271493501e-08	5.73854862572478e-07
Lama3	Lama3	30.916403066893	-2.42759647026642	0.332199195647859	-7.30765306499942	2.71848578749543e-13	1.75317438734961e-11
Thy1	Thy1	42.665273103587	-2.42890785166425	0.363184051717697	-6.68781528312327	2.26526805139245e-11	1.11403098639149e-09
Ptprn	Ptprn	132.525296374722	-2.43269278479684	0.352075474088883	-6.90957753047775	4.860991484268e-12	2.59040373058545e-10
Smoc1	Smoc1	3241.02537470056	-2.43377656201645	0.163620648525722	-14.8745074900119	4.8252287056913e-50	4.99723391720006e-47
Slc38a5	Slc38a5	98.5373972862944	-2.45102319625827	0.318961486624672	-7.68438604358033	1.53732446398609e-14	1.21372800506453e-12
Mylip	Mylip	462.083394800404	-2.45958571809024	0.228504268517693	-10.7638502074625	5.09941021170353e-27	1.30116255343844e-24
Lypd2	Lypd2	5.80778030261645	-2.46400828919219	0.461727044876518	-5.33650414575814	9.47557066357923e-08	2.63549600478635e-06
Kcnj15	Kcnj15	35.7215069727014	-2.46459933693925	0.316231794486995	-7.79364814008481	6.5101674373838e-15	5.30638925474903e-13
Pcdhac2	Pcdhac2	18.0719221598492	-2.46778920843755	0.435534238501426	-5.66611988285616	1.46067347699509e-08	4.55161367008418e-07
Dgkg	Dgkg	12.5603575233038	-2.47543948982435	0.453785086194376	-5.45509221244881	4.89474378285596e-08	1.43150928639472e-06
Rnf43	Rnf43	65.2313412634972	-2.47820543997397	0.393227389210061	-6.3022198045572	2.93412654411627e-10	1.21803058322468e-08
Rgn	Rgn	28.1493535751294	-2.48207524896095	0.359010894690176	-6.91364882144583	4.72343648140735e-12	2.52768458029355e-10
Arhgap24	Arhgap24	408.731060893417	-2.49838269156773	0.198391339934596	-12.5932043827688	2.30137592962858e-36	1.09508174640651e-33
Btg2	Btg2	742.984423599316	-2.49871933503443	0.212122924911243	-11.7795817499686	4.97392633789352e-32	1.68405667509526e-29
Serpina3i	Serpina3i	19.5356166592696	-2.49942900518945	0.383597393418821	-6.51576118104773	7.23219629945835e-11	3.2987059079861e-09
Fgf15	Fgf15	234.631705770199	-2.50126280923041	0.242127301127939	-10.3303625719958	5.13660587259728e-25	1.15942414093523e-22
