Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ndufs7	Ndufs7	790.085000706302	0.587036693062774	0.104596667528817	5.61238428462401	1.99557654492669e-08	5.62068387996781e-06
Pfdn1	Pfdn1	1135.27578284346	0.586221337779612	0.107534105549321	5.45149220133456	4.99489126249711e-08	1.11908268331128e-05
Edf1	Edf1	495.346299448882	0.579844520689037	0.123027730771008	4.71312050588256	2.43951829218001e-06	0.00024230375338105
Rpl13	Rpl13	4823.86634229798	0.569144964438053	0.0916521550185407	6.20983722993658	5.3039510695596e-10	2.75191313914308e-07
Rps9	Rps9	8017.74019550888	0.567000079765002	0.0828284565066973	6.84547441396733	7.62228424028232e-12	6.26170650339193e-09
Fau	Fau	1828.01186212693	0.565688465218746	0.109897963185601	5.14739717480827	2.64125700641021e-07	4.19959864019223e-05
Ndufb10	Ndufb10	1003.05916526737	0.565333434164486	0.109716618151731	5.15266915521097	2.56804794998001e-07	4.17392382876139e-05
Tomm7	Tomm7	1157.54368994348	0.560932701255378	0.0980342371544223	5.72180411188189	1.05398790091396e-08	3.46340424240326e-06
Rpl11	Rpl11	4288.35760921084	0.556405166434277	0.0978350354188732	5.68717703276818	1.29156548867642e-08	4.107178253991e-06
Sod1	Sod1	4570.94814057721	0.555526382383841	0.085119420007017	6.52643524048972	6.73534176214281e-11	4.74264279222884e-08
Tcf15	Tcf15	703.545043176049	0.555127668893189	0.114713190811427	4.83926621660924	1.30319386918761e-06	0.000145987331391493
Rpl18	Rpl18	3649.47997010308	0.554563272539121	0.0908113011096334	6.10676497047009	1.01670783484868e-09	4.55577537997195e-07
Ndufa2	Ndufa2	1801.51268955061	0.553766189569046	0.111766803074099	4.95465714628978	7.24579370304317e-07	9.39855714797363e-05
Rpl29	Rpl29	991.564688981014	0.552750436332775	0.118200188561886	4.67639217041836	2.91966009675706e-06	0.000274114373655534
Ppp1r14b	Ppp1r14b	2677.97101942691	0.551224583170485	0.0855445077621734	6.44371681584716	1.16582522880477e-10	7.41128489751199e-08
Pfdn5	Pfdn5	1485.1605650807	0.541359975926098	0.0970266788424197	5.57949609720556	2.41216357617402e-08	6.4267860902496e-06
Rpl31	Rpl31	5131.23789548702	0.54111469520608	0.104488131401793	5.1787192281706	2.23414421636631e-07	3.86389362893667e-05
Mrpl42	Mrpl42	941.243500324834	0.540993033906188	0.108325853248276	4.99412668060197	5.91025955423079e-07	7.98127927200098e-05
Fam165b	Fam165b	576.849910672687	0.538578629145536	0.128848696095627	4.17993076736936	2.9159785847243e-05	0.00169092452283601
Mrpl33	Mrpl33	767.563381051273	0.538247299649258	0.121464606696576	4.43130978058344	9.36624166559922e-06	0.000673959199558227
Bax	Bax	974.960472959885	0.530197337428581	0.101094835220172	5.2445541483289	1.56660693396689e-07	2.85992799167512e-05
Fth1	Fth1	7633.78000621556	0.528515659888662	0.0844100075186874	6.26129146797736	3.8180213412597e-10	2.0910030212299e-07
Etfb	Etfb	865.94843433311	0.527903604193578	0.113209220728518	4.66307956892944	3.11512236564455e-06	0.000284341447041889
Pcdh8	Pcdh8	1073.80945067813	0.524534734872701	0.116432318948594	4.50506130608193	6.6353783439562e-06	0.000503165843959386
Rps13	Rps13	2567.1757093939	0.524386148535791	0.0851184225117779	6.16066572971593	7.24397577169153e-10	3.57055565786675e-07
Eif3g	Eif3g	4684.6026856254	0.51991488108082	0.0742006704780887	7.00687578334417	2.43698440085008e-12	2.40237922235801e-09
Rps11	Rps11	12857.3190881515	0.519086841379438	0.0808078568558654	6.42371746481679	1.32985933075982e-10	7.71161957801781e-08
Gpx1	Gpx1	9069.7469298473	0.516969641032825	0.0996888051109662	5.18583446212815	2.15049765638358e-07	3.78564391011239e-05
